from_kode,from_nama,from_lat,from_lon,to_kode,to_nama,to_lat,to_lon,straight_km,road_km,travel_minutes,method
3501,Kabupaten Pacitan,-8.1953,111.1012,3527,Kabupaten Sampang,-7.0486,113.239,267.9,348.27,417.9,haversine
3501,Kabupaten Pacitan,-8.1953,111.1012,3528,Kabupaten Pamekasan,-7.1576,113.4741,285.81,371.56,445.9,haversine
3501,Kabupaten Pacitan,-8.1953,111.1012,3529,Kabupaten Sumenep,-7.0167,113.8667,331.78,431.31,517.6,haversine
3501,Kabupaten Pacitan,-8.1953,111.1012,3571,Kota Kediri,-7.8164,112.018,109.39,142.21,170.6,haversine
3501,Kabupaten Pacitan,-8.1953,111.1012,3572,Kota Blitar,-8.0984,112.1683,117.95,153.34,184.0,haversine
3501,Kabupaten Pacitan,-8.1953,111.1012,3573,Kota Malang,-7.9786,112.6305,170.07,221.1,265.3,haversine
3501,Kabupaten Pacitan,-8.1953,111.1012,3574,Kota Probolinggo,-7.7543,113.2159,237.98,309.37,371.2,haversine
3501,Kabupaten Pacitan,-8.1953,111.1012,3575,Kota Pasuruan,-7.6455,112.9077,208.14,270.58,324.7,haversine
3501,Kabupaten Pacitan,-8.1953,111.1012,3576,Kota Mojokerto,-7.4704,112.438,167.87,218.24,261.9,haversine
3501,Kabupaten Pacitan,-8.1953,111.1012,3577,Kota Madiun,-7.6298,111.5237,78.23,101.69,122.0,haversine
3501,Kabupaten Pacitan,-8.1953,111.1012,3578,Kota Surabaya,-7.2575,112.7521,209.67,272.57,327.1,haversine
3501,Kabupaten Pacitan,-8.1953,111.1012,3579,Kota Batu,-7.8672,112.5261,161.07,209.4,251.3,haversine
3502,Kabupaten Ponorogo,-7.8654,111.4595,3501,Kabupaten Pacitan,-8.1953,111.1012,53.87,70.03,84.0,haversine
3502,Kabupaten Ponorogo,-7.8654,111.4595,3502,Kabupaten Ponorogo,-7.8654,111.4595,0.0,0.0,0.0,haversine
3502,Kabupaten Ponorogo,-7.8654,111.4595,3503,Kabupaten Trenggalek,-8.0505,111.7082,34.26,44.54,53.4,haversine
3502,Kabupaten Ponorogo,-7.8654,111.4595,3504,Kabupaten Tulungagung,-8.0654,111.9024,53.6,69.69,83.6,haversine
3502,Kabupaten Ponorogo,-7.8654,111.4595,3505,Kabupaten Blitar,-8.0994,112.16,81.41,105.83,127.0,haversine
3502,Kabupaten Ponorogo,-7.8654,111.4595,3506,Kabupaten Kediri,-7.8489,112.0108,60.75,78.98,94.8,haversine
3502,Kabupaten Ponorogo,-7.8654,111.4595,3507,Kabupaten Malang,-8.0515,112.6409,131.74,171.26,205.5,haversine
3502,Kabupaten Ponorogo,-7.8654,111.4595,3508,Kabupaten Lumajang,-8.1339,113.2246,196.64,255.63,306.8,haversine
3502,Kabupaten Ponorogo,-7.8654,111.4595,3509,Kabupaten Jember,-8.1725,113.6883,247.77,322.1,386.5,haversine
3502,Kabupaten Ponorogo,-7.8654,111.4595,3510,Kabupaten Banyuwangi,-8.2193,114.352,320.89,417.16,500.6,haversine
3502,Kabupaten Ponorogo,-7.8654,111.4595,3511,Kabupaten Bondowoso,-7.9136,113.8214,260.2,338.26,405.9,haversine
3502,Kabupaten Ponorogo,-7.8654,111.4595,3512,Kabupaten Situbondo,-7.7067,114.0049,280.98,365.27,438.3,haversine
3502,Kabupaten Ponorogo,-7.8654,111.4595,3513,Kabupaten Probolinggo,-7.8662,113.2158,193.45,251.49,301.8,haversine
3502,Kabupaten Ponorogo,-7.8654,111.4595,3514,Kabupaten Pasuruan,-7.6469,112.9075,161.38,209.79,251.7,haversine
3502,Kabupaten Ponorogo,-7.8654,111.4595,3515,Kabupaten Sidoarjo,-7.4518,112.7181,146.13,189.97,228.0,haversine
3502,Kabupaten Ponorogo,-7.8654,111.4595,3516,Kabupaten Mojokerto,-7.4726,112.4341,115.94,150.73,180.9,haversine
3502,Kabupaten Ponorogo,-7.8654,111.4595,3517,Kabupaten Jombang,-7.5467,112.2354,92.55,120.32,144.4,haversine
3502,Kabupaten Ponorogo,-7.8654,111.4595,3518,Kabupaten Nganjuk,-7.6051,111.904,56.89,73.96,88.7,haversine
3502,Kabupaten Ponorogo,-7.8654,111.4595,3519,Kabupaten Madiun,-7.5438,111.5247,36.47,47.42,56.9,haversine
3502,Kabupaten Ponorogo,-7.8654,111.4595,3520,Kabupaten Magetan,-7.6462,111.3592,26.76,34.79,41.7,haversine
3502,Kabupaten Ponorogo,-7.8654,111.4595,3521,Kabupaten Ngawi,-7.4047,111.4475,51.24,66.62,79.9,haversine
3502,Kabupaten Ponorogo,-7.8654,111.4595,3522,Kabupaten Bojonegoro,-7.1506,111.8802,92.02,119.63,143.6,haversine
3502,Kabupaten Ponorogo,-7.8654,111.4595,3523,Kabupaten Tuban,-6.9667,112.05,119.27,155.05,186.1,haversine
3502,Kabupaten Ponorogo,-7.8654,111.4595,3524,Kabupaten Lamongan,-7.1197,112.4178,134.3,174.59,209.5,haversine
3502,Kabupaten Ponorogo,-7.8654,111.4595,3525,Kabupaten Gresik,-7.1641,112.6508,152.74,198.56,238.3,haversine
3502,Kabupaten Ponorogo,-7.8654,111.4595,3526,Kabupaten Bangkalan,-7.0456,112.9352,186.5,242.45,290.9,haversine
3502,Kabupaten Ponorogo,-7.8654,111.4595,3527,Kabupaten Sampang,-7.0486,113.239,216.2,281.06,337.3,haversine
3502,Kabupaten Ponorogo,-7.8654,111.4595,3528,Kabupaten Pamekasan,-7.1576,113.4741,235.62,306.31,367.6,haversine
3502,Kabupaten Ponorogo,-7.8654,111.4595,3529,Kabupaten Sumenep,-7.0167,113.8667,281.69,366.2,439.4,haversine
3502,Kabupaten Ponorogo,-7.8654,111.4595,3571,Kota Kediri,-7.8164,112.018,61.76,80.29,96.3,haversine
3502,Kabupaten Ponorogo,-7.8654,111.4595,3572,Kota Blitar,-8.0984,112.1683,82.24,106.91,128.3,haversine
3502,Kabupaten Ponorogo,-7.8654,111.4595,3573,Kota Malang,-7.9786,112.6305,129.58,168.45,202.1,haversine
3502,Kabupaten Ponorogo,-7.8654,111.4595,3574,Kota Probolinggo,-7.7543,113.2159,193.89,252.05,302.5,haversine
3502,Kabupaten Ponorogo,-7.8654,111.4595,3575,Kota Pasuruan,-7.6455,112.9077,161.42,209.85,251.8,haversine
3502,Kabupaten Ponorogo,-7.8654,111.4595,3576,Kota Mojokerto,-7.4704,112.438,116.43,151.36,181.6,haversine
3502,Kabupaten Ponorogo,-7.8654,111.4595,3577,Kota Madiun,-7.6298,111.5237,27.14,35.28,42.3,haversine
3502,Kabupaten Ponorogo,-7.8654,111.4595,3578,Kota Surabaya,-7.2575,112.7521,157.7,205.01,246.0,haversine
3502,Kabupaten Ponorogo,-7.8654,111.4595,3579,Kota Batu,-7.8672,112.5261,117.48,152.73,183.3,haversine
3503,Kabupaten Trenggalek,-8.0505,111.7082,3501,Kabupaten Pacitan,-8.1953,111.1012,68.73,89.35,107.2,haversine
3503,Kabupaten Trenggalek,-8.0505,111.7082,3502,Kabupaten Ponorogo,-7.8654,111.4595,34.26,44.54,53.4,haversine
3503,Kabupaten Trenggalek,-8.0505,111.7082,3503,Kabupaten Trenggalek,-8.0505,111.7082,0.0,0.0,0.0,haversine
3503,Kabupaten Trenggalek,-8.0505,111.7082,3504,Kabupaten Tulungagung,-8.0654,111.9024,21.44,27.88,33.5,haversine
3503,Kabupaten Trenggalek,-8.0505,111.7082,3505,Kabupaten Blitar,-8.0994,112.16,50.04,65.05,78.1,haversine
3503,Kabupaten Trenggalek,-8.0505,111.7082,3506,Kabupaten Kediri,-7.8489,112.0108,40.16,52.21,62.7,haversine
3503,Kabupaten Trenggalek,-8.0505,111.7082,3507,Kabupaten Malang,-8.0515,112.6409,102.69,133.5,160.2,haversine
3503,Kabupaten Trenggalek,-8.0505,111.7082,3508,Kabupaten Lumajang,-8.1339,113.2246,167.19,217.35,260.8,haversine
3503,Kabupaten Trenggalek,-8.0505,111.7082,3509,Kabupaten Jember,-8.1725,113.6883,218.4,283.91,340.7,haversine
3503,Kabupaten Trenggalek,-8.0505,111.7082,3510,Kabupaten Banyuwangi,-8.2193,114.352,291.62,379.11,454.9,haversine
3503,Kabupaten Trenggalek,-8.0505,111.7082,3511,Kabupaten Bondowoso,-7.9136,113.8214,233.2,303.16,363.8,haversine
3503,Kabupaten Trenggalek,-8.0505,111.7082,3512,Kabupaten Situbondo,-7.7067,114.0049,255.84,332.6,399.1,haversine
3503,Kabupaten Trenggalek,-8.0505,111.7082,3513,Kabupaten Probolinggo,-7.8662,113.2158,167.28,217.47,261.0,haversine
3503,Kabupaten Trenggalek,-8.0505,111.7082,3514,Kabupaten Pasuruan,-7.6469,112.9075,139.52,181.38,217.7,haversine
3503,Kabupaten Trenggalek,-8.0505,111.7082,3515,Kabupaten Sidoarjo,-7.4518,112.7181,129.66,168.56,202.3,haversine
3503,Kabupaten Trenggalek,-8.0505,111.7082,3516,Kabupaten Mojokerto,-7.4726,112.4341,102.59,133.37,160.0,haversine
3503,Kabupaten Trenggalek,-8.0505,111.7082,3517,Kabupaten Jombang,-7.5467,112.2354,80.69,104.9,125.9,haversine
3503,Kabupaten Trenggalek,-8.0505,111.7082,3518,Kabupaten Nganjuk,-7.6051,111.904,54.02,70.22,84.3,haversine
3503,Kabupaten Trenggalek,-8.0505,111.7082,3519,Kabupaten Madiun,-7.5438,111.5247,59.86,77.82,93.4,haversine
3503,Kabupaten Trenggalek,-8.0505,111.7082,3520,Kabupaten Magetan,-7.6462,111.3592,59.15,76.9,92.3,haversine
3503,Kabupaten Trenggalek,-8.0505,111.7082,3521,Kabupaten Ngawi,-7.4047,111.4475,77.34,100.54,120.7,haversine
3503,Kabupaten Trenggalek,-8.0505,111.7082,3522,Kabupaten Bojonegoro,-7.1506,111.8802,101.84,132.4,158.9,haversine
3503,Kabupaten Trenggalek,-8.0505,111.7082,3523,Kabupaten Tuban,-6.9667,112.05,126.27,164.15,197.0,haversine
3503,Kabupaten Trenggalek,-8.0505,111.7082,3524,Kabupaten Lamongan,-7.1197,112.4178,129.73,168.65,202.4,haversine
3503,Kabupaten Trenggalek,-8.0505,111.7082,3525,Kabupaten Gresik,-7.1641,112.6508,143.2,186.17,223.4,haversine
3503,Kabupaten Trenggalek,-8.0505,111.7082,3526,Kabupaten Bangkalan,-7.0456,112.9352,175.44,228.07,273.7,haversine
3503,Kabupaten Trenggalek,-8.0505,111.7082,3527,Kabupaten Sampang,-7.0486,113.239,202.2,262.86,315.4,haversine
3503,Kabupaten Trenggalek,-8.0505,111.7082,3528,Kabupaten Pamekasan,-7.1576,113.4741,218.49,284.04,340.8,haversine
3503,Kabupaten Trenggalek,-8.0505,111.7082,3529,Kabupaten Sumenep,-7.0167,113.8667,264.25,343.53,412.2,haversine
3503,Kabupaten Trenggalek,-8.0505,111.7082,3571,Kota Kediri,-7.8164,112.018,42.91,55.79,66.9,haversine
3503,Kabupaten Trenggalek,-8.0505,111.7082,3572,Kota Blitar,-8.0984,112.1683,50.93,66.21,79.5,haversine
3503,Kabupaten Trenggalek,-8.0505,111.7082,3573,Kota Malang,-7.9786,112.6305,101.87,132.43,158.9,haversine
3503,Kabupaten Trenggalek,-8.0505,111.7082,3574,Kota Probolinggo,-7.7543,113.2159,169.29,220.08,264.1,haversine
3503,Kabupaten Trenggalek,-8.0505,111.7082,3575,Kota Pasuruan,-7.6455,112.9077,139.59,181.47,217.8,haversine
3503,Kabupaten Trenggalek,-8.0505,111.7082,3576,Kota Mojokerto,-7.4704,112.438,103.08,134.01,160.8,haversine
3503,Kabupaten Trenggalek,-8.0505,111.7082,3577,Kota Madiun,-7.6298,111.5237,51.0,66.3,79.6,haversine
3503,Kabupaten Trenggalek,-8.0505,111.7082,3578,Kota Surabaya,-7.2575,112.7521,144.95,188.43,226.1,haversine
3503,Kabupaten Trenggalek,-8.0505,111.7082,3579,Kota Batu,-7.8672,112.5261,92.35,120.05,144.1,haversine
3504,Kabupaten Tulungagung,-8.0654,111.9024,3501,Kabupaten Pacitan,-8.1953,111.1012,89.37,116.18,139.4,haversine
3504,Kabupaten Tulungagung,-8.0654,111.9024,3502,Kabupaten Ponorogo,-7.8654,111.4595,53.6,69.69,83.6,haversine
3504,Kabupaten Tulungagung,-8.0654,111.9024,3503,Kabupaten Trenggalek,-8.0505,111.7082,21.44,27.88,33.5,haversine
3504,Kabupaten Tulungagung,-8.0654,111.9024,3504,Kabupaten Tulungagung,-8.0654,111.9024,0.0,0.0,0.0,haversine
3504,Kabupaten Tulungagung,-8.0654,111.9024,3505,Kabupaten Blitar,-8.0994,112.16,28.61,37.19,44.6,haversine
3504,Kabupaten Tulungagung,-8.0654,111.9024,3506,Kabupaten Kediri,-7.8489,112.0108,26.87,34.93,41.9,haversine
3504,Kabupaten Tulungagung,-8.0654,111.9024,3507,Kabupaten Malang,-8.0515,112.6409,81.32,105.72,126.9,haversine
3504,Kabupaten Tulungagung,-8.0654,111.9024,3508,Kabupaten Lumajang,-8.1339,113.2246,145.75,189.48,227.4,haversine
3504,Kabupaten Tulungagung,-8.0654,111.9024,3509,Kabupaten Jember,-8.1725,113.6883,196.95,256.04,307.2,haversine
3504,Kabupaten Tulungagung,-8.0654,111.9024,3510,Kabupaten Banyuwangi,-8.2193,114.352,270.18,351.23,421.5,haversine
3504,Kabupaten Tulungagung,-8.0654,111.9024,3511,Kabupaten Bondowoso,-7.9136,113.8214,211.98,275.58,330.7,haversine
3504,Kabupaten Tulungagung,-8.0654,111.9024,3512,Kabupaten Situbondo,-7.7067,114.0049,234.99,305.48,366.6,haversine
3504,Kabupaten Tulungagung,-8.0654,111.9024,3513,Kabupaten Probolinggo,-7.8662,113.2158,146.32,190.22,228.3,haversine
3504,Kabupaten Tulungagung,-8.0654,111.9024,3514,Kabupaten Pasuruan,-7.6469,112.9075,120.1,156.12,187.3,haversine
3504,Kabupaten Tulungagung,-8.0654,111.9024,3515,Kabupaten Sidoarjo,-7.4518,112.7181,112.84,146.69,176.0,haversine
3504,Kabupaten Tulungagung,-8.0654,111.9024,3516,Kabupaten Mojokerto,-7.4726,112.4341,88.18,114.64,137.6,haversine
3504,Kabupaten Tulungagung,-8.0654,111.9024,3517,Kabupaten Jombang,-7.5467,112.2354,68.35,88.86,106.6,haversine
3504,Kabupaten Tulungagung,-8.0654,111.9024,3518,Kabupaten Nganjuk,-7.6051,111.904,51.18,66.54,79.8,haversine
3504,Kabupaten Tulungagung,-8.0654,111.9024,3519,Kabupaten Madiun,-7.5438,111.5247,71.38,92.8,111.4,haversine
3504,Kabupaten Tulungagung,-8.0654,111.9024,3520,Kabupaten Magetan,-7.6462,111.3592,75.85,98.6,118.3,haversine
3504,Kabupaten Tulungagung,-8.0654,111.9024,3521,Kabupaten Ngawi,-7.4047,111.4475,88.94,115.62,138.7,haversine
3504,Kabupaten Tulungagung,-8.0654,111.9024,3522,Kabupaten Bojonegoro,-7.1506,111.8802,101.75,132.28,158.7,haversine
3504,Kabupaten Tulungagung,-8.0654,111.9024,3523,Kabupaten Tuban,-6.9667,112.05,123.25,160.22,192.3,haversine
3504,Kabupaten Tulungagung,-8.0654,111.9024,3524,Kabupaten Lamongan,-7.1197,112.4178,119.52,155.38,186.5,haversine
3504,Kabupaten Tulungagung,-8.0654,111.9024,3525,Kabupaten Gresik,-7.1641,112.6508,129.8,168.74,202.5,haversine
3504,Kabupaten Tulungagung,-8.0654,111.9024,3526,Kabupaten Bangkalan,-7.0456,112.9352,160.68,208.89,250.7,haversine
3504,Kabupaten Tulungagung,-8.0654,111.9024,3527,Kabupaten Sampang,-7.0486,113.239,185.71,241.43,289.7,haversine
3504,Kabupaten Tulungagung,-8.0654,111.9024,3528,Kabupaten Pamekasan,-7.1576,113.4741,200.49,260.64,312.8,haversine
3504,Kabupaten Tulungagung,-8.0654,111.9024,3529,Kabupaten Sumenep,-7.0167,113.8667,245.93,319.71,383.7,haversine
3504,Kabupaten Tulungagung,-8.0654,111.9024,3571,Kota Kediri,-7.8164,112.018,30.47,39.62,47.5,haversine
3504,Kabupaten Tulungagung,-8.0654,111.9024,3572,Kota Blitar,-8.0984,112.1683,29.5,38.35,46.0,haversine
3504,Kabupaten Tulungagung,-8.0654,111.9024,3573,Kota Malang,-7.9786,112.6305,80.75,104.97,126.0,haversine
3504,Kabupaten Tulungagung,-8.0654,111.9024,3574,Kota Probolinggo,-7.7543,113.2159,148.74,193.37,232.0,haversine
3504,Kabupaten Tulungagung,-8.0654,111.9024,3575,Kota Pasuruan,-7.6455,112.9077,120.18,156.23,187.5,haversine
3504,Kabupaten Tulungagung,-8.0654,111.9024,3576,Kota Mojokerto,-7.4704,112.438,88.65,115.25,138.3,haversine
3504,Kabupaten Tulungagung,-8.0654,111.9024,3577,Kota Madiun,-7.6298,111.5237,63.92,83.1,99.7,haversine
3504,Kabupaten Tulungagung,-8.0654,111.9024,3578,Kota Surabaya,-7.2575,112.7521,129.76,168.69,202.4,haversine
3504,Kabupaten Tulungagung,-8.0654,111.9024,3579,Kota Batu,-7.8672,112.5261,72.13,93.77,112.5,haversine
3505,Kabupaten Blitar,-8.0994,112.16,3501,Kabupaten Pacitan,-8.1953,111.1012,117.03,152.14,182.6,haversine
3505,Kabupaten Blitar,-8.0994,112.16,3502,Kabupaten Ponorogo,-7.8654,111.4595,81.41,105.83,127.0,haversine
3505,Kabupaten Blitar,-8.0994,112.16,3503,Kabupaten Trenggalek,-8.0505,111.7082,50.04,65.05,78.1,haversine
3505,Kabupaten Blitar,-8.0994,112.16,3504,Kabupaten Tulungagung,-8.0654,111.9024,28.61,37.19,44.6,haversine
3505,Kabupaten Blitar,-8.0994,112.16,3505,Kabupaten Blitar,-8.0994,112.16,0.0,0.0,0.0,haversine
3505,Kabupaten Blitar,-8.0994,112.16,3506,Kabupaten Kediri,-7.8489,112.0108,32.34,42.04,50.4,haversine
3505,Kabupaten Blitar,-8.0994,112.16,3507,Kabupaten Malang,-8.0515,112.6409,53.21,69.17,83.0,haversine
3505,Kabupaten Blitar,-8.0994,112.16,3508,Kabupaten Lumajang,-8.1339,113.2246,117.26,152.43,182.9,haversine
3505,Kabupaten Blitar,-8.0994,112.16,3509,Kabupaten Jember,-8.1725,113.6883,168.42,218.95,262.7,haversine
3505,Kabupaten Blitar,-8.0994,112.16,3510,Kabupaten Banyuwangi,-8.2193,114.352,241.64,314.13,377.0,haversine
3505,Kabupaten Blitar,-8.0994,112.16,3511,Kabupaten Bondowoso,-7.9136,113.8214,184.1,239.33,287.2,haversine
3505,Kabupaten Blitar,-8.0994,112.16,3512,Kabupaten Situbondo,-7.7067,114.0049,207.83,270.18,324.2,haversine
3505,Kabupaten Blitar,-8.0994,112.16,3513,Kabupaten Probolinggo,-7.8662,113.2158,119.12,154.85,185.8,haversine
3505,Kabupaten Blitar,-8.0994,112.16,3514,Kabupaten Pasuruan,-7.6469,112.9075,96.49,125.44,150.5,haversine
3505,Kabupaten Blitar,-8.0994,112.16,3515,Kabupaten Sidoarjo,-7.4518,112.7181,94.69,123.1,147.7,haversine
3505,Kabupaten Blitar,-8.0994,112.16,3516,Kabupaten Mojokerto,-7.4726,112.4341,75.96,98.74,118.5,haversine
3505,Kabupaten Blitar,-8.0994,112.16,3517,Kabupaten Jombang,-7.5467,112.2354,62.02,80.62,96.7,haversine
3505,Kabupaten Blitar,-8.0994,112.16,3518,Kabupaten Nganjuk,-7.6051,111.904,61.78,80.31,96.4,haversine
3505,Kabupaten Blitar,-8.0994,112.16,3519,Kabupaten Madiun,-7.5438,111.5247,93.35,121.36,145.6,haversine
3505,Kabupaten Blitar,-8.0994,112.16,3520,Kabupaten Magetan,-7.6462,111.3592,101.59,132.06,158.5,haversine
3505,Kabupaten Blitar,-8.0994,112.16,3521,Kabupaten Ngawi,-7.4047,111.4475,110.13,143.18,171.8,haversine
3505,Kabupaten Blitar,-8.0994,112.16,3522,Kabupaten Bojonegoro,-7.1506,111.8802,109.92,142.89,171.5,haversine
3505,Kabupaten Blitar,-8.0994,112.16,3523,Kabupaten Tuban,-6.9667,112.05,126.53,164.49,197.4,haversine
3505,Kabupaten Blitar,-8.0994,112.16,3524,Kabupaten Lamongan,-7.1197,112.4178,112.58,146.36,175.6,haversine
3505,Kabupaten Blitar,-8.0994,112.16,3525,Kabupaten Gresik,-7.1641,112.6508,117.23,152.39,182.9,haversine
3505,Kabupaten Blitar,-8.0994,112.16,3526,Kabupaten Bangkalan,-7.0456,112.9352,145.02,188.53,226.2,haversine
3505,Kabupaten Blitar,-8.0994,112.16,3527,Kabupaten Sampang,-7.0486,113.239,166.72,216.74,260.1,haversine
3505,Kabupaten Blitar,-8.0994,112.16,3528,Kabupaten Pamekasan,-7.1576,113.4741,178.72,232.34,278.8,haversine
3505,Kabupaten Blitar,-8.0994,112.16,3529,Kabupaten Sumenep,-7.0167,113.8667,223.35,290.35,348.4,haversine
3505,Kabupaten Blitar,-8.0994,112.16,3571,Kota Kediri,-7.8164,112.018,35.14,45.68,54.8,haversine
3505,Kabupaten Blitar,-8.0994,112.16,3572,Kota Blitar,-8.0984,112.1683,0.92,1.2,1.4,haversine
3505,Kabupaten Blitar,-8.0994,112.16,3573,Kota Malang,-7.9786,112.6305,53.52,69.57,83.5,haversine
3505,Kabupaten Blitar,-8.0994,112.16,3574,Kota Probolinggo,-7.7543,113.2159,122.46,159.19,191.0,haversine
3505,Kabupaten Blitar,-8.0994,112.16,3575,Kota Pasuruan,-7.6455,112.9077,96.59,125.57,150.7,haversine
3505,Kabupaten Blitar,-8.0994,112.16,3576,Kota Mojokerto,-7.4704,112.438,76.35,99.26,119.1,haversine
3505,Kabupaten Blitar,-8.0994,112.16,3577,Kota Madiun,-7.6298,111.5237,87.4,113.62,136.3,haversine
3505,Kabupaten Blitar,-8.0994,112.16,3578,Kota Surabaya,-7.2575,112.7521,114.11,148.34,178.0,haversine
3505,Kabupaten Blitar,-8.0994,112.16,3579,Kota Batu,-7.8672,112.5261,47.87,62.24,74.7,haversine
3506,Kabupaten Kediri,-7.8489,112.0108,3501,Kabupaten Pacitan,-8.1953,111.1012,107.3,139.5,167.4,haversine
3506,Kabupaten Kediri,-7.8489,112.0108,3502,Kabupaten Ponorogo,-7.8654,111.4595,60.75,78.98,94.8,haversine
3506,Kabupaten Kediri,-7.8489,112.0108,3503,Kabupaten Trenggalek,-8.0505,111.7082,40.16,52.21,62.7,haversine
3506,Kabupaten Kediri,-7.8489,112.0108,3504,Kabupaten Tulungagung,-8.0654,111.9024,26.87,34.93,41.9,haversine
3506,Kabupaten Kediri,-7.8489,112.0108,3505,Kabupaten Blitar,-8.0994,112.16,32.34,42.04,50.4,haversine
3506,Kabupaten Kediri,-7.8489,112.0108,3506,Kabupaten Kediri,-7.8489,112.0108,0.0,0.0,0.0,haversine
3506,Kabupaten Kediri,-7.8489,112.0108,3507,Kabupaten Malang,-8.0515,112.6409,72.96,94.84,113.8,haversine
3506,Kabupaten Kediri,-7.8489,112.0108,3508,Kabupaten Lumajang,-8.1339,113.2246,137.36,178.57,214.3,haversine
3506,Kabupaten Kediri,-7.8489,112.0108,3509,Kabupaten Jember,-8.1725,113.6883,188.18,244.64,293.6,haversine
3506,Kabupaten Kediri,-7.8489,112.0108,3510,Kabupaten Banyuwangi,-8.2193,114.352,261.04,339.36,407.2,haversine
3506,Kabupaten Kediri,-7.8489,112.0108,3511,Kabupaten Bondowoso,-7.9136,113.8214,199.56,259.42,311.3,haversine
3506,Kabupaten Kediri,-7.8489,112.0108,3512,Kabupaten Situbondo,-7.7067,114.0049,220.26,286.34,343.6,haversine
3506,Kabupaten Kediri,-7.8489,112.0108,3513,Kabupaten Probolinggo,-7.8662,113.2158,132.75,172.57,207.1,haversine
3506,Kabupaten Kediri,-7.8489,112.0108,3514,Kabupaten Pasuruan,-7.6469,112.9075,101.32,131.72,158.1,haversine
3506,Kabupaten Kediri,-7.8489,112.0108,3515,Kabupaten Sidoarjo,-7.4518,112.7181,89.59,116.46,139.8,haversine
3506,Kabupaten Kediri,-7.8489,112.0108,3516,Kabupaten Mojokerto,-7.4726,112.4341,62.66,81.46,97.8,haversine
